,url,title,author,desc,views,lang,grade,subject,chapter
48,https://www.youtube.com/watch?v=DhJ0zLZaDHg,8.1.2.2.F - 8th Std Maths Made Sweet - Objective questions - Exercise 1.6 9-15,Maths Made Sweet,,38,tamil,8,mathematics,Number System
49,https://www.youtube.com/watch?v=QEZLMSXwu-o,8.1.2.2.G1 - 8th Std Maths Made Sweet - Multitasking questions - Exercise 1.7 1-3,Maths Made Sweet,,53,tamil,8,mathematics,Number System
50,https://www.youtube.com/watch?v=O3ndkoare3Q,8.1.2.2.G2 - 8th Std Maths Made Sweet - Multitasking questions - Exercise 1.7 4-5,Maths Made Sweet,,80,tamil,8,mathematics,Number System
51,https://www.youtube.com/watch?v=pQYtTA5Y1o8,8.1.2.2.H1 - 8th Std Maths Made Sweet - Multitasking questions - Exercise 1.7 6-8,Maths Made Sweet,,46,tamil,8,mathematics,Number System
52,https://www.youtube.com/watch?v=A0zoNR3ZX3E,8.1.2.2.H2 - 8th Std Maths Made Sweet - Multitasking questions - Exercise 1.7 9-10,Maths Made Sweet,,54,tamil,8,mathematics,Number System
53,https://www.youtube.com/watch?v=fxm7iR0arUw,8.1.2.2.I - 8th Std Maths Made Sweet - Higher order thinking questions - Exercise 1.7 6-10,Maths Made Sweet,,26,tamil,8,mathematics,Number System
54,https://www.youtube.com/watch?v=Ky5YTWwJa1g,8.1.2.2.J - 8th Std Maths Made Sweet - Higher order thinking questions - Exercise 1.7 14-16,Maths Made Sweet,,35,tamil,8,mathematics,Number System
55,https://www.youtube.com/watch?v=v-u8q6Qukyg,8.1.2.2.K - 8th Std Maths Made Sweet - Higher order thinking questions - Exercise 1.7 17-20,Maths Made Sweet,,35,tamil,8,mathematics,Number System
56,https://www.youtube.com/watch?v=NEP9_rpwpac,8.1.2.2.L - 8th Std Maths Made Sweet - Rational Numbers - Summary of the lesson 1-8,Maths Made Sweet,,37,tamil,8,mathematics,Number System
57,https://www.youtube.com/watch?v=2jtEqbGZ2uE,8.1.2.2.M - 8th Std Maths Made Sweet - Rational Numbers - Summary of the lesson 9-16,Maths Made Sweet,,20,tamil,8,mathematics,Number System
58,https://www.youtube.com/watch?v=n2PS7imthRo,8.1.2.2.N - 8th Std Maths Made Sweet - Rational Numbers - Summary of the lesson 17-29,Maths Made Sweet,,12,tamil,8,mathematics,Number System
